ESPECIFICA,ANO_DOC,RUBRO_NOMBRE,PROVINCIA_EJECUTORA_NOMBRE,SEC_EJEC,ESPECIFICA_DET_NOMBRE,MONTO_PIA,MONTO_PIM,RUBRO,SUBGENERICA_DET,GENERICA,SECTOR,SUBGENERICA_DET_NOMBRE,ESPECIFICA_DET,TIPO_RECURSO,DEPARTAMENTO_EJECUTORA_NOMBRE,SUBGENERICA_NOMBRE,SECTOR_NOMBRE,NIVEL_GOBIERNO_NOMBRE,MONTO_RECAUDADO,MES_DOC,EJECUTORA,GENERICA_NOMBRE,PROVINCIA_EJECUTORA,NIVEL_GOBIERNO,FUENTE_FINANCIAMIENTO_NOMBRE,FUENTE_FINANCIAMIENTO,PLIEGO,ESPECIFICA_NOMBRE,PLIEGO_NOMBRE,DEPARTAMENTO_EJECUTORA,DISTRITO_EJECUTORA_NOMBRE,TIPO_RECURSO_NOMBRE,EJECUTORA_NOMBRE,SUBGENERICA,DISTRITO_EJECUTORA
1,2024,DONACIONES Y TRANSFERENCIAS,LIMA,360001,DE LOS GOBIERNOS REGIONALES,0,0,13,3,4,98,DE OTRAS UNIDADES DE GOBIERNO,2,18,LIMA,DONACIONES DE CAPITAL,MANCOMUNIDADES REGIONALES,GOBIERNOS REGIONALES,705868,9,001,DONACIONES Y TRANSFERENCIAS,01,R,DONACIONES Y TRANSFERENCIAS,4,001,DE OTRAS UNIDADES DE GOBIERNO,MANCOMUNIDAD REGIONAL DE LOS ANDES,15,SAN ISIDRO,SUBCUENTA - TRANSFERENCIAS FINANCIERAS,MANCOMUNIDAD REGIONAL DE LOS ANDES,2,31
1,2024,DONACIONES Y TRANSFERENCIAS,LIMA,360001,SALDOS DE BALANCE,0,200,13,1,9,98,SALDOS DE BALANCE,1,0,LIMA,SALDOS DE BALANCE,MANCOMUNIDADES REGIONALES,GOBIERNOS REGIONALES,0,11,001,SALDOS DE BALANCE,01,R,DONACIONES Y TRANSFERENCIAS,4,001,SALDOS DE BALANCE,MANCOMUNIDAD REGIONAL DE LOS ANDES,15,SAN ISIDRO,NORMAL,MANCOMUNIDAD REGIONAL DE LOS ANDES,1,31
1,2024,RECURSOS DIRECTAMENTE RECAUDADOS,LIMA,360001,INTERESES POR DEPOSITOS DISTINTOS DE RECURSOS POR PRIVATIZACION Y CONCESIONES,0,0,09,1,5,98,RENTAS DE LA PROPIEDAD FINANCIERA,1,7,LIMA,RENTAS DE LA PROPIEDAD,MANCOMUNIDADES REGIONALES,GOBIERNOS REGIONALES,2.37,9,001,OTROS INGRESOS,01,R,RECURSOS DIRECTAMENTE RECAUDADOS,2,001,INTERESES,MANCOMUNIDAD REGIONAL DE LOS ANDES,15,SAN ISIDRO,SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS,MANCOMUNIDAD REGIONAL DE LOS ANDES,1,31
1,2024,DONACIONES Y TRANSFERENCIAS,LIMA,360001,SALDOS DE BALANCE,0,0,13,1,9,98,SALDOS DE BALANCE,1,18,LIMA,SALDOS DE BALANCE,MANCOMUNIDADES REGIONALES,GOBIERNOS REGIONALES,1610,3,001,SALDOS DE BALANCE,01,R,DONACIONES Y TRANSFERENCIAS,4,001,SALDOS DE BALANCE,MANCOMUNIDAD REGIONAL DE LOS ANDES,15,SAN ISIDRO,SUBCUENTA - TRANSFERENCIAS FINANCIERAS,MANCOMUNIDAD REGIONAL DE LOS ANDES,1,31
1,2024,RECURSOS DIRECTAMENTE RECAUDADOS,LIMA,360001,INTERESES POR DEPOSITOS DISTINTOS DE RECURSOS POR PRIVATIZACION Y CONCESIONES,0,0,09,1,5,98,RENTAS DE LA PROPIEDAD FINANCIERA,1,7,LIMA,RENTAS DE LA PROPIEDAD,MANCOMUNIDADES REGIONALES,GOBIERNOS REGIONALES,8.1,2,001,OTROS INGRESOS,01,R,RECURSOS DIRECTAMENTE RECAUDADOS,2,001,INTERESES,MANCOMUNIDAD REGIONAL DE LOS ANDES,15,SAN ISIDRO,SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS,MANCOMUNIDAD REGIONAL DE LOS ANDES,1,31
1,2024,DONACIONES Y TRANSFERENCIAS,LIMA,360001,DE LOS GOBIERNOS REGIONALES,0,0,13,3,4,98,DE OTRAS UNIDADES DE GOBIERNO,2,18,LIMA,DONACIONES Y TRANSFERENCIAS CORRIENTES,MANCOMUNIDADES REGIONALES,GOBIERNOS REGIONALES,40000,8,001,DONACIONES Y TRANSFERENCIAS,01,R,DONACIONES Y TRANSFERENCIAS,4,001,DE OTRAS UNIDADES DE GOBIERNO,MANCOMUNIDAD REGIONAL DE LOS ANDES,15,SAN ISIDRO,SUBCUENTA - TRANSFERENCIAS FINANCIERAS,MANCOMUNIDAD REGIONAL DE LOS ANDES,1,31
1,2024,DONACIONES Y TRANSFERENCIAS,LIMA,360001,DE LOS GOBIERNOS REGIONALES,0,8409012,13,3,4,98,DE OTRAS UNIDADES DE GOBIERNO,2,0,LIMA,DONACIONES DE CAPITAL,MANCOMUNIDADES REGIONALES,GOBIERNOS REGIONALES,0,8,001,DONACIONES Y TRANSFERENCIAS,01,R,DONACIONES Y TRANSFERENCIAS,4,001,DE OTRAS UNIDADES DE GOBIERNO,MANCOMUNIDAD REGIONAL DE LOS ANDES,15,SAN ISIDRO,NORMAL,MANCOMUNIDAD REGIONAL DE LOS ANDES,2,31
1,2024,DONACIONES Y TRANSFERENCIAS,LIMA,360001,DE LOS GOBIERNOS REGIONALES,0,0,13,3,4,98,DE OTRAS UNIDADES DE GOBIERNO,2,18,LIMA,DONACIONES Y TRANSFERENCIAS CORRIENTES,MANCOMUNIDADES REGIONALES,GOBIERNOS REGIONALES,115000,9,001,DONACIONES Y TRANSFERENCIAS,01,R,DONACIONES Y TRANSFERENCIAS,4,001,DE OTRAS UNIDADES DE GOBIERNO,MANCOMUNIDAD REGIONAL DE LOS ANDES,15,SAN ISIDRO,SUBCUENTA - TRANSFERENCIAS FINANCIERAS,MANCOMUNIDAD REGIONAL DE LOS ANDES,1,31
4,2024,RECURSOS DIRECTAMENTE RECAUDADOS,LIMA,360001,OTROS INGRESOS DIVERSOS,0,0,09,1,5,98,INGRESOS DIVERSOS,99,0,LIMA,INGRESOS DIVERSOS,MANCOMUNIDADES REGIONALES,GOBIERNOS REGIONALES,0,3,001,OTROS INGRESOS,01,R,RECURSOS DIRECTAMENTE RECAUDADOS,2,001,OTROS INGRESOS DIVERSOS,MANCOMUNIDAD REGIONAL DE LOS ANDES,15,SAN ISIDRO,NORMAL,MANCOMUNIDAD REGIONAL DE LOS ANDES,5,31
1,2024,RECURSOS DIRECTAMENTE RECAUDADOS,LIMA,360001,INTERESES POR DEPOSITOS DISTINTOS DE RECURSOS POR PRIVATIZACION Y CONCESIONES,0,0,09,1,5,98,RENTAS DE LA PROPIEDAD FINANCIERA,1,7,LIMA,RENTAS DE LA PROPIEDAD,MANCOMUNIDADES REGIONALES,GOBIERNOS REGIONALES,4.3,11,001,OTROS INGRESOS,01,R,RECURSOS DIRECTAMENTE RECAUDADOS,2,001,INTERESES,MANCOMUNIDAD REGIONAL DE LOS ANDES,15,SAN ISIDRO,SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS,MANCOMUNIDAD REGIONAL DE LOS ANDES,1,31
1,2024,RECURSOS DIRECTAMENTE RECAUDADOS,LIMA,360001,INTERESES POR DEPOSITOS DISTINTOS DE RECURSOS POR PRIVATIZACION Y CONCESIONES,0,0,09,1,5,98,RENTAS DE LA PROPIEDAD FINANCIERA,1,7,LIMA,RENTAS DE LA PROPIEDAD,MANCOMUNIDADES REGIONALES,GOBIERNOS REGIONALES,35.15,4,001,OTROS INGRESOS,01,R,RECURSOS DIRECTAMENTE RECAUDADOS,2,001,INTERESES,MANCOMUNIDAD REGIONAL DE LOS ANDES,15,SAN ISIDRO,SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS,MANCOMUNIDAD REGIONAL DE LOS ANDES,1,31
