EJECUTORA_NOMBRE,ANO_DOC,NIVEL_GOBIERNO_NOMBRE,EJECUTORA,PLIEGO,SUBGENERICA_NOMBRE,MES_DOC,PROVINCIA_EJECUTORA_NOMBRE,RUBRO_NOMBRE,DISTRITO_EJECUTORA,SECTOR_NOMBRE,FUENTE_FINANCIAMIENTO,SUBGENERICA_DET_NOMBRE,SUBGENERICA,DISTRITO_EJECUTORA_NOMBRE,DEPARTAMENTO_EJECUTORA,NIVEL_GOBIERNO,MONTO_PIM,DEPARTAMENTO_EJECUTORA_NOMBRE,SUBGENERICA_DET,ESPECIFICA_NOMBRE,ESPECIFICA,FUENTE_FINANCIAMIENTO_NOMBRE,PLIEGO_NOMBRE,PROVINCIA_EJECUTORA,ESPECIFICA_DET_NOMBRE,SECTOR,TIPO_RECURSO,GENERICA,RUBRO,TIPO_RECURSO_NOMBRE,MONTO_RECAUDADO,ESPECIFICA_DET,SEC_EJEC,GENERICA_NOMBRE,MONTO_PIA
MANCOMUNIDAD REGIONAL DE LOS ANDES,2026,GOBIERNOS REGIONALES,001,001,SALDOS DE BALANCE,1,LIMA,RECURSOS DIRECTAMENTE RECAUDADOS,31,MANCOMUNIDADES REGIONALES,2,SALDOS DE BALANCE,1,SAN ISIDRO,15,R,0,LIMA,1,SALDOS DE BALANCE,1,RECURSOS DIRECTAMENTE RECAUDADOS,MANCOMUNIDAD REGIONAL DE LOS ANDES,01,SALDOS DE BALANCE,98,7,9,09,SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS,755,1,360001,SALDOS DE BALANCE,0
MANCOMUNIDAD REGIONAL DE LOS ANDES,2026,GOBIERNOS REGIONALES,001,001,DONACIONES DE CAPITAL,1,LIMA,DONACIONES Y TRANSFERENCIAS,31,MANCOMUNIDADES REGIONALES,4,DE OTRAS UNIDADES DE GOBIERNO,2,SAN ISIDRO,15,R,0,LIMA,3,DE OTRAS UNIDADES DE GOBIERNO,1,DONACIONES Y TRANSFERENCIAS,MANCOMUNIDAD REGIONAL DE LOS ANDES,01,DE LOS GOBIERNOS REGIONALES,98,18,4,13,SUBCUENTA - TRANSFERENCIAS FINANCIERAS,353760,2,360001,DONACIONES Y TRANSFERENCIAS,0
MANCOMUNIDAD REGIONAL DE LOS ANDES,2026,GOBIERNOS REGIONALES,001,001,DONACIONES Y TRANSFERENCIAS CORRIENTES,4,LIMA,DONACIONES Y TRANSFERENCIAS,31,MANCOMUNIDADES REGIONALES,4,DE OTRAS UNIDADES DE GOBIERNO,1,SAN ISIDRO,15,R,0,LIMA,3,DE OTRAS UNIDADES DE GOBIERNO,1,DONACIONES Y TRANSFERENCIAS,MANCOMUNIDAD REGIONAL DE LOS ANDES,01,DE LOS GOBIERNOS REGIONALES,98,18,4,13,SUBCUENTA - TRANSFERENCIAS FINANCIERAS,50000,2,360001,DONACIONES Y TRANSFERENCIAS,0
MANCOMUNIDAD REGIONAL DE LOS ANDES,2026,GOBIERNOS REGIONALES,001,001,SALDOS DE BALANCE,1,LIMA,DONACIONES Y TRANSFERENCIAS,31,MANCOMUNIDADES REGIONALES,4,SALDOS DE BALANCE,1,SAN ISIDRO,15,R,0,LIMA,1,SALDOS DE BALANCE,1,DONACIONES Y TRANSFERENCIAS,MANCOMUNIDAD REGIONAL DE LOS ANDES,01,SALDOS DE BALANCE,98,18,9,13,SUBCUENTA - TRANSFERENCIAS FINANCIERAS,3582209,1,360001,SALDOS DE BALANCE,0
MANCOMUNIDAD REGIONAL DE LOS ANDES,2026,GOBIERNOS REGIONALES,001,001,MULTAS Y SANCIONES NO TRIBUTARIAS,1,LIMA,RECURSOS DIRECTAMENTE RECAUDADOS,31,MANCOMUNIDADES REGIONALES,2,SANCIONES,2,SAN ISIDRO,15,R,0,LIMA,2,SANCIONES ADMINISTRATIVAS,1,RECURSOS DIRECTAMENTE RECAUDADOS,MANCOMUNIDAD REGIONAL DE LOS ANDES,01,OTRAS SANCIONES,98,0,5,09,NORMAL,0,99,360001,OTROS INGRESOS,0
MANCOMUNIDAD REGIONAL DE LOS ANDES,2026,GOBIERNOS REGIONALES,001,001,RENTAS DE LA PROPIEDAD,2,LIMA,RECURSOS DIRECTAMENTE RECAUDADOS,31,MANCOMUNIDADES REGIONALES,2,RENTAS DE LA PROPIEDAD FINANCIERA,1,SAN ISIDRO,15,R,0,LIMA,1,INTERESES,1,RECURSOS DIRECTAMENTE RECAUDADOS,MANCOMUNIDAD REGIONAL DE LOS ANDES,01,INTERESES POR DEPOSITOS DISTINTOS DE RECURSOS POR PRIVATIZACION Y CONCESIONES,98,7,5,09,SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS,3.08,1,360001,OTROS INGRESOS,0
MANCOMUNIDAD REGIONAL DE LOS ANDES,2026,GOBIERNOS REGIONALES,001,001,SALDOS DE BALANCE,1,LIMA,RECURSOS DIRECTAMENTE RECAUDADOS,31,MANCOMUNIDADES REGIONALES,2,SALDOS DE BALANCE,1,SAN ISIDRO,15,R,755,LIMA,1,SALDOS DE BALANCE,1,RECURSOS DIRECTAMENTE RECAUDADOS,MANCOMUNIDAD REGIONAL DE LOS ANDES,01,SALDOS DE BALANCE,98,0,9,09,NORMAL,0,1,360001,SALDOS DE BALANCE,0
MANCOMUNIDAD REGIONAL DE LOS ANDES,2026,GOBIERNOS REGIONALES,001,001,DONACIONES DE CAPITAL,1,LIMA,DONACIONES Y TRANSFERENCIAS,31,MANCOMUNIDADES REGIONALES,4,DE OTRAS UNIDADES DE GOBIERNO,2,SAN ISIDRO,15,R,353760,LIMA,3,DE OTRAS UNIDADES DE GOBIERNO,1,DONACIONES Y TRANSFERENCIAS,MANCOMUNIDAD REGIONAL DE LOS ANDES,01,DE LOS GOBIERNOS REGIONALES,98,0,4,13,NORMAL,0,2,360001,DONACIONES Y TRANSFERENCIAS,0
MANCOMUNIDAD REGIONAL DE LOS ANDES,2026,GOBIERNOS REGIONALES,001,001,DONACIONES Y TRANSFERENCIAS CORRIENTES,3,LIMA,DONACIONES Y TRANSFERENCIAS,31,MANCOMUNIDADES REGIONALES,4,DE OTRAS UNIDADES DE GOBIERNO,1,SAN ISIDRO,15,R,0,LIMA,3,DE OTRAS UNIDADES DE GOBIERNO,1,DONACIONES Y TRANSFERENCIAS,MANCOMUNIDAD REGIONAL DE LOS ANDES,01,DE LOS GOBIERNOS REGIONALES,98,18,4,13,SUBCUENTA - TRANSFERENCIAS FINANCIERAS,200000,2,360001,DONACIONES Y TRANSFERENCIAS,0
MANCOMUNIDAD REGIONAL DE LOS ANDES,2026,GOBIERNOS REGIONALES,001,001,DONACIONES Y TRANSFERENCIAS CORRIENTES,1,LIMA,DONACIONES Y TRANSFERENCIAS,31,MANCOMUNIDADES REGIONALES,4,DE OTRAS UNIDADES DE GOBIERNO,1,SAN ISIDRO,15,R,0,LIMA,3,DE OTRAS UNIDADES DE GOBIERNO,1,DONACIONES Y TRANSFERENCIAS,MANCOMUNIDAD REGIONAL DE LOS ANDES,01,DE LOS GOBIERNOS REGIONALES,98,0,4,13,NORMAL,0,2,360001,DONACIONES Y TRANSFERENCIAS,0
