"VARIABLE","TIPO_DATO","DESCRIPCION"
"ANO_DOC","Numérico","Año del documento en que se realizaron los recaudados del año vigente."
"MES_DOC","Numérico","Mes del documento en que se realizaron los recaudados del año vigente."
"NIVEL_GOBIERNO","Carácter","Carácter que identifica el Nivel de Gobierno: E, R, M; para Nacional, Regionales y Locales, respectivamente."
"NIVEL_GOBIERNO_NOMBRE","Carácter","Descripción de Nivel de Gobierno: Nacional, Regionales, Locales."
"SECTOR","Carácter","Código de Sector al que pertenece la Entidad."
"SECTOR_NOMBRE","Carácter","Descripción de código del Sector al que pertenece la Entidad."
"PLIEGO","Carácter","Código de Pliego al que pertenece la Entidad."
"PLIEGO_NOMBRE","Carácter","Descripción de código del Pliego al que pertenece la Entidad."
"SEC_EJEC","Carácter","Código que identifica a una Entidad."
"EJECUTORA","Carácter","Código de la cadena institucional que identifica a una Entidad."
"EJECUTORA_NOMBRE","Carácter","Nombre de la Entidad."
"DEPARTAMENTO_EJECUTORA","Carácter","Código de departamento donde se ubica la Entidad."
"DEPARTAMENTO_EJECUTORA_NOMBRE","Carácter","Nombre de departamento donde se ubica la Entidad."
"PROVINCIA_EJECUTORA","Carácter","Código de provincia del departamento donde se ubica la Entidad."
"PROVINCIA_EJECUTORA_NOMBRE","Carácter","Nombre de provincia del departamento donde se ubica la Entidad."
"DISTRITO_EJECUTORA","Carácter","Código de distrito de la provincia del departamento donde se ubica la Entidad."
"DISTRITO_EJECUTORA_NOMBRE","Carácter","Nombre de distrito de la provincia del departamento donde se ubica la Entidad."
"FUENTE_FINANCIAMIENTO","Carácter","Código de la Fuente de Financimiento que agrupa a uno o más Rubros."
"FUENTE_FINANCIAMIENTO_NOMBRE","Carácter","Descripción de la Fuente de Financiamiento."
"RUBRO","Carácter","Código del Rubro que puede utilizar la Entidad."
"RUBRO_NOMBRE","Carácter","Descripción del Rubro (de donde provienen los recursos)."
"TIPO_RECURSO","Carácter","Código del Tipo de recurso."
"TIPO_RECURSO_NOMBRE","Carácter","Descripción del Tipo de Recurso."
"GENERICA","Numérico","Código de Genérica."
"GENERICA_NOMBRE","Carácter","Mayor nivel de agregación de los clasificadores de ingreso."
"SUBGENERICA","Numérico","Código de Subgenérica."
"SUBGENERICA_NOMBRE","Carácter","Es el nivel intermedio de agregación de los recursos que se recaudan, captan u obtienen."
"SUBGENERICA_DET","Numérico","Código de subgenérica detalle."
"SUBGENERICA_DET_NOMBRE","Carácter","Es el nivel intermedio pero más detallado en agregación de los recursos que se recaudan, captan u obtienen, producto de la agregación más específico que identifica y clasifica los recursos."
"ESPECIFICA","Numérico","Código de Específica."
"ESPECIFICA_NOMBRE","Carácter","Es el nivel de agregación de los recursos que se recaudan, captan u obtienen, producto de la agregación más específico que identifica y clasifica los recursos."
"ESPECIFICA_DET","Numérico","Código de específica detalle."
"ESPECIFICA_DET_NOMBRE","Carácter","Es el nivel de agregación de los recursos que se recaudan, captan u obtienen, producto de la agregación más específica y en detalle que identifica y clasifica los recursos."
"MONTO_PIA","Numérico","Monto asignado de Presupuesto Institucional de Apertura."
"MONTO_PIM","Numérico","Monto de Presupuesto Institucional Modificado."
"MONTO_RECAUDADO","Numérico","Monto total de fase Recaudado por año de documento y según nivel a mostrar."
