"VARIABLE","TIPO_DATO","DESCRIPCION"
"SEC_EJEC","Numérico","Identificador del código del gobierno local."
"UBIGEO","Carácter","Ubigeo Municipalidad"
"DEPARTAMENTO","Carácter","Código de departamento donde se ubica la Entidad."
"DEPARTAMENTO_NOMBRE","Carácter","Nombre de departamento donde se ubica la Entidad."
"PROVINCIA","Carácter","Código de provincia del departamento donde se ubica la Entidad."
"PROVINCIA_NOMBRE","Carácter","Nombre de provincia del departamento donde se ubica la Entidad."
"DISTRITO","Carácter","Código de distrito de la provincia del departamento donde se ubica la Entidad."
"DISTRITO_NOMBRE","Carácter","Nombre de distrito de la provincia del departamento donde se ubica la Entidad."
"MUNICIPALIDAD_NOMBRE","Carácter","Nombre de municipalidad"
"ANO_APLICACION","Numérico","Año de aplicación."
"PERIODO","Numérico","Periodo."
"ANO_ESTADISTICA","Numérico","Año de la estadistica"
"MON_EMISIONPREDIAL_AFECTO","Numérico","Monto de emision del impuesto predial afecto"
"MON_EMISIONPREDIAL_EXON","Numérico","Monto de emision del impuesto predial exonerado"
"NUM_EMISIONPREDIAL_AFECTO","Numérico","Numero de contribuyentes de la emision predial afecto"
"NUM_EMISIONPREDIAL_EXON","Numérico","Numero de contribuyentes de la emision predial exonerado"
"NUM_EMISIONPREDIAL_CASA","Numérico","Numero de predios de la emision predial uso casa habitacion."
"NUM_EMISIONPREDIAL_OTROS","Numérico","Numero de predios de la emision predial otros usos."
"MON_BASEIMPONIBLE_AFECTO","Numérico","Monto de la base imponible afecto"
"MON_BASEIMPONIBLE_EXON","Numérico","Monto de la base imponible exonerado"
"MON_AUTOAVALUO_INAFECTO","Numérico","Monto del autovaluo inafecto"
"MON_RECAUDACTUAL_ORDIN","Numérico","Monto recaudacion predial corriente (año actual) ordinaria"
"MON_RECAUDACTUAL_COAC","Numérico","Monto recaudacion predial corriente (año actual) coactiva"
"MON_RECAUDANTER_ORDI","Numérico","Monto recaudacion predial no corriente (año anteriores) ordinaria"
"MON_RECAUDANTER_COAC","Numérico","Monto recaudacion predial no corriente (año anteriores) coactiva"
"MON_INICIALADULTOMAYOR","Numérico","Monto (Sin deduccion 50 UIT) emision inicial Persona Adulta Mayor"
"MON_PREDIALADULTOMAYOR","Numérico","Monto (Con deduccion 50 UIT) emision predial Persona Adulta Mayor"
"NUM_CONTRIBADULTOMAYOR","Numérico","Cantidad de contribuyentes Persona Adulta Mayor"
"MON_RECUADADULTOMAYOR","Numérico","Monto Recaudacion Persona Adulta Mayor"
"MON_SALDOPREDIAL_ORD","Numérico","Monto saldos por cobrar insoluto impuesto predial Ordinario."
"MON_SALDOPREDIAL_COAC","Numérico","Monto saldos por cobrar insoluto impuesto predial Coactivo."
"NUM_INAFECTOS","Numérico","Número de inafectos"
"TIPO_META","Carácter","Contiene el tipo de Meta"
"NUM_CONTRIPREDIO","Numérico","Numero total de contribuyentes del registro predial"
"FLAG_EMILIQUIDA","Carácter","Realiza la emision de liquidacion del impuesto predial(cuponera o cartillas de pago)"
"NUM_PREDIOUSOCH","Numérico","Numero de predios con uso casa-habiltacion"
"NUM_PREDIOOTROUSO","Numérico","Numero de predios con otros usos."
"NUM_PREDIOTOTAL","Numérico","Numero total de predios"
"FLAG_EMISION_INICIAL","Carácter","Emisión inicial"
"FORMULARIO_ID","Numérico","Id de Formulario"
"MES_ESTADISTICA","Numérico","Mes es estadística"
"MON_EMISIONPREDIAL_INSO","Numérico","Monto de emisión insoluta"
