"ANO_APLICACION","PERIODO","FORMULARIO_ID","ANO_ESTADISTICA","MES_ESTADISTICA","ESTADO_REGISTRO","ANO_ESTADISTICA_DESC"
"2021","1","6","2017","13","A"," "
"2021","1","6","2018","13","A"," "
"2021","1","6","2019","13","A"," "
"2021","1","6","2020","13","A"," "
"2021","1","6","2021","13","A"," "
"2021","1","7","2018","13","A"," "
"2021","1","7","2019","13","A"," "
"2021","1","7","2020","13","A"," "
"2021","1","7","2021","1","A"," "
"2021","1","7","2021","2","A"," "
"2021","1","7","2021","3","A"," "
"2021","1","7","2021","4","A"," "
"2021","1","7","2021","5","A"," "
"2021","1","7","2021","6","A"," "
"2021","1","7","2021","7","A"," "
"2021","1","7","2021","8","A"," "
"2021","1","7","2021","9","A"," "
"2021","1","7","2021","10","A"," "
"2021","1","7","2021","11","A"," "
"2021","1","7","2021","12","A"," "
"2021","1","8","2014","13","A"," "
"2021","1","8","2015","13","A"," "
"2021","1","8","2016","13","A"," "
"2021","1","8","2017","13","A"," "
"2021","1","8","2018","13","A"," "
"2021","1","8","2019","13","A"," "
"2021","1","8","2020","13","A"," "
"2021","1","8","2021","13","A"," "
"2023","1","6","2019","13","A","2019"
"2023","1","6","2020","13","A","2020"
"2023","1","6","2021","13","A","2021"
"2023","1","6","2022","13","A","2022"
"2023","1","6","2023","13","A","2023"
"2023","1","7","2020","13","A","2020"
"2023","1","7","2021","13","A","2021"
"2023","1","7","2022","13","A","2022"
"2023","1","7","2023","1","A","2023-I"
"2023","1","7","2023","2","A","2023-I"
"2023","1","7","2023","3","A","2023-I"
"2023","1","7","2023","4","A","2023-I"
"2023","1","7","2023","5","A","2023-I"
"2023","1","8","2017","13","A","Hasta 2017"
"2023","1","8","2018","13","A","2018"
"2023","1","8","2019","13","A","2019"
"2023","1","8","2020","13","A","2020"
"2023","1","8","2021","13","A","2021"
"2023","1","8","2022","13","A","2022"
"2023","1","9","2019","13","A","2019"
"2023","1","9","2020","13","A","2020"
"2023","1","9","2021","13","A","2021"
"2023","1","9","2022","13","A","2022"
"2020","1","6","2017","13","A"," "
"2020","1","6","2018","13","A"," "
"2020","1","6","2019","13","A"," "
"2020","1","6","2020","13","A"," "
"2020","1","7","2018","13","A"," "
"2020","1","7","2019","13","A"," "
"2020","1","7","2020","1","A"," "
"2020","1","7","2020","2","A"," "
"2020","1","7","2020","3","A"," "
"2020","1","7","2020","4","A"," "
"2020","1","7","2020","5","A"," "
"2020","1","7","2020","6","A"," "
"2020","1","8","2014","13","A"," "
"2020","1","8","2015","13","A"," "
"2020","1","8","2016","13","A"," "
"2020","1","8","2017","13","A"," "
"2020","1","8","2018","13","A"," "
"2020","1","8","2019","13","A"," "
"2022","1","6","2018","13","A","2018"
"2022","1","6","2019","13","A","2019"
"2022","1","6","2020","13","A","2020"
"2022","1","6","2021","13","A","2021"
"2022","1","6","2022","13","A","2022"
"2022","1","7","2019","13","A","2019"
"2022","1","7","2020","13","A","2020"
"2022","1","7","2021","13","A","2021"
"2022","1","7","2022","1","A","2022-I"
"2022","1","7","2022","2","A","2022-I"
"2022","1","7","2022","3","A","2022-I"
"2022","1","7","2022","4","A","2022-I"
"2022","1","7","2022","5","A","2022-I"
"2022","1","8","2016","13","A","Hasta 2016"
"2022","1","8","2017","13","A","2017"
"2022","1","8","2018","13","A","2018"
"2022","1","8","2019","13","A","2019"
"2022","1","8","2020","13","A","2020"
"2022","1","8","2021","13","A","2021"
"2022","2","7","2022","6","A","2022-II"
"2022","2","7","2022","7","A","2022-II"
"2022","2","7","2022","8","A","2022-II"
"2022","2","7","2022","9","A","2022-II"
"2022","2","7","2022","10","A","2022-II"
"2022","2","7","2022","11","A","2022-II"
"2022","2","7","2022","12","A","2022-II"
"2022","2","8","2016","13","A","Hasta 2016"
"2022","2","8","2017","13","A","2017"
"2022","2","8","2018","13","A","2018"
"2022","2","8","2019","13","A","2019"
"2022","2","8","2020","13","A","2020"
"2022","2","8","2021","13","A","2021"
"2022","2","8","2022","13","A","2022"
"2025","2","14","2025","5","A","2025"
"2025","2","14","2025","6","A","2025"
"2025","2","14","2025","7","A","2025"
"2025","2","14","2025","8","A","2025"
"2025","2","14","2025","9","A","2025"
"2025","2","14","2025","10","A","2025"
"2025","2","14","2025","11","A","2025"
"2025","2","14","2025","12","A","2025"
"2025","2","15","2024","13","A","2024"
"2025","2","15","2025","13","A","2025"
"2025","2","16","2024","13","A","2024"
"2025","2","16","2025","13","A","2025"
"2026","1","7","2025","13","A","2025"
"2026","1","7","2026","13","A","2026"
"2026","1","8","2026","1","A","2026-I"
"2026","1","8","2026","2","A","2026-I"
"2026","1","8","2026","3","A","2026-I"
"2026","1","8","2026","4","A","2026-I"
"2026","1","8","2026","5","A","2026-I"
"2026","1","8","2026","6","A","2026-I"
"2026","1","9","2023","13","A","Hasta 2023"
"2026","1","9","2024","13","A","2024"
"2026","1","9","2025","13","A","2025"
"2026","1","11","2024","13","A","2024"
"2026","1","11","2025","13","A","2025"
"2026","1","11","2026","13","A","Al 30/06/2026"
"2026","1","12","2025","13","A","2025"
"2026","1","12","2026","13","A","2026"
"2026","1","13","2025","13","A","2025"
"2026","1","13","2026","13","A","2026"
"2026","1","14","2026","1","A","2026-I"
"2026","1","14","2026","2","A","2026-I"
"2026","1","14","2026","3","A","2026-I"
"2026","1","14","2026","4","A","2026-I"
"2026","1","14","2026","5","A","2026-I"
"2026","1","14","2026","6","A","2026-I"
"2026","1","16","2024","13","A","Hasta 2024"
"2026","1","16","2025","13","A","2025"
"2024","1","6","2023","13","A","2023"
"2024","1","6","2024","13","A","2024"
"2024","1","7","2023","13","A","2023"
"2024","1","7","2024","1","A","2024-I"
"2024","1","7","2024","2","A","2024-I"
"2024","1","7","2024","3","A","2024-I"
"2024","1","7","2024","4","A","2024-I"
"2024","1","8","2021","13","A","Hasta 2021"
"2024","1","8","2022","13","A","2022"
"2024","1","8","2023","13","A","2023"
"2024","1","9","2022","13","A","2022"
"2024","1","9","2023","13","A","2023"
"2024","1","10","2023","13","A","2023"
"2024","1","10","2024","13","A","2024"
"2024","1","11","2023","13","A","2023"
"2024","1","11","2024","13","A","2024"
"2024","1","12","2021","13","A","2023"
"2024","1","12","2024","1","A","2024-I"
"2024","1","12","2024","2","A","2024-I"
"2024","1","12","2024","3","A","2024-I"
"2024","1","12","2024","4","A","2024-I"
"2025","1","6","2024","13","A","2024"
"2025","1","6","2025","13","A","2025"
"2025","1","7","2025","1","A","2025-I"
"2025","1","7","2025","2","A","2025-I"
"2025","1","7","2025","3","A","2025-I"
"2025","1","7","2025","4","A","2025-I"
"2025","1","8","2023","13","A","Al 2023"
"2025","1","8","2024","13","A","2024"
"2025","1","8","2025","13","A","2025"
"2025","1","9","2023","13","A","2023"
"2025","1","9","2024","13","A","2024"
"2025","1","10","2023","13","A","2023"
"2025","1","10","2024","13","A","2024"
"2025","1","10","2025","13","A","2025"
"2025","1","11","2024","13","A","2024"
"2025","1","11","2025","13","A","2025"
"2025","1","12","2024","13","A","2024"
"2025","1","12","2025","13","A","2025"
"2025","1","13","2025","1","A","2025-I"
"2025","1","13","2025","2","A","2025-I"
"2025","1","13","2025","3","A","2025-I"
"2025","1","13","2025","4","A","2025-I"
"2023","2","7","2023","6","A","2023-II"
"2023","2","7","2023","7","A","2023-II"
"2023","2","7","2023","8","A","2023-II"
"2023","2","7","2023","9","A","2023-II"
"2023","2","7","2023","10","A","2023-II"
"2023","2","7","2023","11","A","2023-II"
"2023","2","7","2023","12","A","2023-II"
"2023","2","8","2018","13","A","Hasta 2018"
"2023","2","8","2019","13","A","2019"
"2023","2","8","2020","13","A","2020"
"2023","2","8","2021","13","A","2021"
"2023","2","8","2022","13","A","2022"
"2023","2","8","2023","13","A","2023"
"2023","2","9","2023","13","A","2023"
"2024","2","12","2024","5","A","2024-II"
"2024","2","12","2024","6","A","2024-II"
"2024","2","12","2024","7","A","2024-II"
"2024","2","12","2024","8","A","2024-II"
"2024","2","12","2024","9","A","2024-II"
"2024","2","12","2024","10","A","2024-II"
"2024","2","12","2024","11","A","2024-II"
"2024","2","12","2024","12","A","2024-II"
"2024","2","13","2023","13","A","2023"
"2024","2","13","2024","13","A","2024"
"2024","2","14","2023","13","A","2023"
"2024","2","14","2024","13","A","2024"
"2024","2","7","2024","5","A","2024-II"
"2024","2","7","2024","6","A","2024-II"
"2024","2","7","2024","7","A","2024-II"
"2024","2","7","2024","8","A","2024-II"
"2024","2","7","2024","9","A","2024-II"
"2024","2","7","2024","10","A","2024-II"
"2024","2","7","2024","11","A","2024-II"
"2024","2","7","2024","12","A","2024-II"
"2024","2","8","2022","13","A","Hasta 2022"
"2024","2","8","2023","13","A","2023"
"2024","2","8","2024","13","A","2024"
"2024","2","9","2024","13","A","2024"
"2025","2","8","2025","5","A","2025"
"2025","2","8","2025","6","A","2025"
"2025","2","8","2025","7","A","2025"
"2025","2","8","2025","8","A","2025"
"2025","2","8","2025","9","A","2025"
"2025","2","8","2025","10","A","2025"
"2025","2","8","2025","11","A","2025"
"2025","2","8","2025","12","A","2025"
"2025","2","9","2023","13","A","Hasta 2023"
"2025","2","9","2024","13","A","2024"
"2025","2","9","2025","13","A","2025"
"2025","2","10","2025","13","A","2025"
