"VARIABLE","TIPO_DATO","DESCRIPCION"
"ANO_APLICACION","Numérico","Año de aplicación."
"PERIODO","Numérico","Periodo."
"FORMULARIO_ID","Numérico","Id. del formulario"
"ORDEN_FORMULARIO","Carácter","Orden en el que se van a mostrar los formularios en el aplicativo"
"TITULO","Carácter","Título del formulario"
"SUB_TITULO","Carácter","Subtítulo del formulario"
"ABREVIATURA","Carácter","Abreviatura del formulario: 3A, 3B, 3C, etc"
"CLASIFICACION","Carácter","Clasificación de las municipalidades a las que estará asociada el formulario"
"TIPO_FORMULARIO","Carácter","Tipo de Formulario: (C) Cuestionario, (E) Estadística"
"ESTADO_REGISTRO","Carácter","Estado del registro: (A) Activo, (I) Inactivo"
