"VARIABLE","TIPO_DATO","DESCRIPCION"
"ANO_APLICACION","Numérico","Año de aplicación."
"PERIODO","Numérico","Periodo."
"FORMULARIO_ID","Numérico","Id. del formulario."
"PREGUNTA_ID","Numérico","Id. de la pregunta."
"PREGUNTA_PADRE_ID","Numérico","Id. padre de la pregunta."
"ORDEN_PREGUNTA","Carácter","Orden de la pregunta."
"DESCRIPCION","Carácter","Descripción de la pregunta."
"OBJETO_ACTIVO","Numérico","Identificar si un objeto debe ser "disabled" en el formulario."
"TIPO_CUESTIONARIO_ID","Numérico","Tipo cuestionario."
"RESPUESTA","Carácter","La respuesta de la pregunta padre permitirá quitar el disabled en el formulario."
"RANGO_INI","Carácter","La respuesta de la pregunta padre permitirá quitar el disabled en el formulario."
"RANGO_FIN","Carácter","La respuesta de la pregunta padre permitirá quitar el disabled en el formulario."
"TEXTO_APOYO","Carácter","Texto placeholder que irá en el input del objeto."
"TEXTO_LECTURA","Carácter","Texto que abré en un popup y da instrucción adicionales de la pregunta."
"ESTADO_REGISTRO","Carácter","Estado del registro: (A) Activo, (I) Inactivo."
