Municipalidad;Categoria
M. D. DE CHETO;F
M. D. DE LEVANTO;F
M. D. DE CHISQUILLA;F
M. D. DE SHIPASBAMBA;F
M. D. DE LONYA CHICO;F
M. D. DE MARIA;F
M. D. DE AQUIA;F
M. D. DE YANAC;F
M. D. DE ACAS;F
M. D. DE LACABAMBA;F
M. D. DE PALLASCA;F
M. D. DE TAUCA;F
M. D. DE PAMPAS CHICO;F
M. D. DE ACOBAMBA;F
M. D. DE ALFONSO UGARTE;F
M. D. DE CHINGALPO;F
M. D. DE CAPAYA;F
M. D. DE SAÑAYCA;F
M. D. DE CHOCO;F
M. D. DE MACHAGUAY;F
M. D. DE UÑON;F
M. D. DE HUAMBO;F
M. D. DE TORO;F
M. D. DE SAISA;F
M. D. DE PUYUSCA;F
M. D. DE COLTA;F
M. D. DE CARHUANCA;F
M. D. DE JORGE CHAVEZ;F
M. D. DE PION;F
M. D. DE SEXI;F
M. D. DE IZCUCHACA;F
M. D. DE PILCHACA;F
M. D. DE HUANCA HUANCA;F
M. D. DE JULCAMARCA;F
M. D. DE AURAHUA;F
M. D. DE HUAMATAMBO;F
M. D. DE TANTARA;F
M. D. DE LA MERCED;F
M. D. SAN MIGUEL DE MAYOCC;F
M. D. STGO. DE QUIRAHUARA;F
M. D. DE BAÑOS;F
M. D. DE SAN FRANCISCO DE ASIS;F
M. D. DE TIBILLO;F
M. D. DE CHACAPAMPA;F
M. D. DE CULLHUAS;F
M. D. DE QUICHUAY;F
M. D. DE MASMA;F
M. D. DE PACA;F
M. D. DE PANCAN;F
M. D. DE ONDORES;F
M. D. DE PALCAMAYO;F
M. D. DE UCHUMARCA;F
M. D. DE PACARAN;F
M. D. DE SUMBILCA;F
M. D. DE LAHUAYTAMBO;F
M. D. SAN ANDRES DE TUPICOCHA;F
M. D. DE CHECRAS;F
M. D. DE SANTA LEONOR;F
M. D. DE AYAUCA;F
M. D. DE HUANGASCAR;F
M. D. DE QUINCHES;F
M. D. DE TUPE;F
M. D. DE VIÑAC;F
M. D. DE INAHUAYA;F
M. D. DE ROSA PANDURO;F
M. D. DE PALCA;F
M. D. DE PARATIA;F
M. D. DE TINICACHI;F
M. D. DE UNICACHI;F
M. D. DE AGUA BLANCA;F
M. D. DE SACANCHE;F
M. D. DE PAPAPLAYA;F
M. D. HEROES ALBARRACIN;F
M. D. DE HUANCAS;E
M. D. DE MAGDALENA;E
M. D. MARISCAL CASTILLA;E
M. D. DE MONTEVIDEO;E
M. D. DE SAN FRANCISCO;E
M. D. DE LUYA VIEJO;E
M. D. DE COCHAMAL;E
M. D. DE ABELARDO PARDO;E
M. D. DE CANIS;E
M. D. DE MANGAS;E
M. D. DE PACLLON;E
M. D. DE YUPAN;E
M. D. DE CAJAMARQUILLA;E
M. D. DE LLIPA;E
M. D. SAN CRISTOBAL DE RAJAN;E
M. D. DE SANTIAGO DE CHILCAS;E
M. D. DE POMACOCHA;E
M. D. SAN JUAN DE CHACÑA;E
M. D. DE VIRUNDO;E
M. D. DE AYO;E
M. D. DE MACA;E
M. D. DE CABANA;E
M. D. DE MARCABAMBA;E
M. D. DE BELEN;E
M. D. DE SANTIAGO DE PAUCARAY;E
M. D. DE APONGO;E
M. D. DE SARHUA;E
M. D. DE CONAYCA;E
M. D. DE HUAYLLAHUARA;E
M. D. MARISCAL CÁCERES;E
M. D. DE QUEROPALCA;E
M. D. DE CARHUACALLANGA;E
M. D. DE ACO;E
M. D. DE CANCHAYLLO;E
M. D. DE HUARIPAMPA;E
M. D. DE MARCO;E
M. D. DE MUQUI;E
M. D. DE MUQUIYAUYO;E
M. D. DE UCUNCHA;E
M. D. DE HUAROS;E
M. D. DE LACHAQUI;E
M. D. DE LAMPIAN;E
M. D. DE SAN MIGUEL DE ACOS;E
M. D. DE 27 NOVIEMBRE;E
M. D. DE CALLAHUANCA;E
M. D. DE HUACHUPAMPA;E
M. D. DE HUANZA;E
M. D. DE SAN PEDRO DE LARAOS;E
M. D. DE SAN DAMIAN;E
M. D. SAN JUAN DE TANTARANCHE;E
M. D. DE SAN PEDRO DE CASTA;E
M. D. SAN PEDRO DE HUANCAYRE;E
M. D. SANTIAGO DE ANCHUCAYA;E
M. D. SANTIAGO DE TUNA;E
M. D. DE PACHANGARA;E
M. D. DE HONGOS;E
M. D. DE HUAMPARA;E
M. D. DE HUANCAYA;E
M. D. DE HUAÑEC;E
M. D. DE QUINOCAY;E
M. D. DE SAN PEDRO DE PILAS;E
M. D. DE VITIS;E
M. D. DE CHACAYAN;E
M. D. DE TAPUC;E
M. D. DE HABANA;E
M. D. DE TINGO DE SAPOSOA;E
M. D. DE POSIC;E
M. D. DE CHIPURANA;E
M. D. DE SHAPAJA;E
M. D. DE CAIRANI;E
M. D. DE ESTIQUE;E
M. D. DE SUSAPAYA;E
M. D. DE TICACO;E
M. D. DE BALSAS;G
M. D. DE CHILIQUIN;G
M. D. DE CHUQUIBAMBA;G
M. D. DE SOLOCO;G
M. D. DE SANTA CATALINA;G
M. D. DE LIMABAMBA;G
M. D. DE SANTA ROSA;G
M. D. DE HUANCHAY;G
M. D. DE PAMPAS GRANDE;G
M. D. DE CHACCHO;G
M. D. DE ATAQUERO;G
M. D. DE HUAYLAS;G
M. D. DE SANTA ROSA;G
M. D. SAN PEDRO DE CACHORA;G
M. D. DE HUAYLLO;G
M. D. DE TINTAY;G
M. D. DE LOS CHANKAS;G
M. D. DE AHUAYRO;G
M. D. DE TIPAN;G
M. D. DE MARIA PARADO;G
M. D. DE PUTIS;G
M. D. DE LUIS CARRANZA;G
M. D. DE CHUMUCH;G
M. D. DE CHIMBAN;G
M. D. DE TOCMOCHE;G
M. D. DE SAN JUAN DE CUTERVO;G
M. D. DE NANCHOC;G
M. D. DE SAN GREGORIO;G
M. D. DE SAN LUIS;G
M. D. DE ANDABAMBA;G
M. D. DE LA ESPERANZA;G
M. D. DE CUENCA;G
M. D. DE CHUPAMARCA;G
M. D. DE COCAS;G
M. D. DE SANTA ANA;G
M. D. STO. DOMINGO DE CAPILLAS;G
M. D. DE SHUNQUI;G
