PLIEGO_NOMBRE,DEPARTAMENTO_EJECUTORA,SECTOR,DISTRITO_EJECUTORA,MONTO_RECAUDADO,PROVINCIA_EJECUTORA_NOMBRE,ANO_DOC,ESPECIFICA_NOMBRE,SUBGENERICA_DET_NOMBRE,PROVINCIA_EJECUTORA,NIVEL_GOBIERNO_NOMBRE,MES_DOC,NIVEL_GOBIERNO,DEPARTAMENTO_EJECUTORA_NOMBRE,SEC_EJEC,RUBRO_NOMBRE,SUBGENERICA_DET,RUBRO,GENERICA,TIPO_RECURSO_NOMBRE,EJECUTORA_NOMBRE,SUBGENERICA,MONTO_PIA,FUENTE_FINANCIAMIENTO_NOMBRE,ESPECIFICA_DET_NOMBRE,TIPO_RECURSO,SECTOR_NOMBRE,SUBGENERICA_NOMBRE,EJECUTORA,PLIEGO,FUENTE_FINANCIAMIENTO,DISTRITO_EJECUTORA_NOMBRE,MONTO_PIM,ESPECIFICA,GENERICA_NOMBRE,ESPECIFICA_DET
MANCOMUNIDAD REGIONAL DE LOS ANDES,15,98,31,97.01,LIMA,2022,SALDOS DE BALANCE,SALDOS DE BALANCE,01,GOBIERNOS REGIONALES,1,R,LIMA,360001,DONACIONES Y TRANSFERENCIAS,1,13,9,NORMAL,MANCOMUNIDAD REGIONAL DE LOS ANDES,1,0,DONACIONES Y TRANSFERENCIAS,SALDOS DE BALANCE,0,MANCOMUNIDADES REGIONALES,SALDOS DE BALANCE,001,001,4,SAN ISIDRO,11444828,1,SALDOS DE BALANCE,1
MANCOMUNIDAD REGIONAL DE LOS ANDES,15,98,31,0,LIMA,2022,DE OTRAS UNIDADES DE GOBIERNO,DE OTRAS UNIDADES DE GOBIERNO,01,GOBIERNOS REGIONALES,11,R,LIMA,360001,DONACIONES Y TRANSFERENCIAS,3,13,4,NORMAL,MANCOMUNIDAD REGIONAL DE LOS ANDES,1,0,DONACIONES Y TRANSFERENCIAS,DE LOS GOBIERNOS REGIONALES,0,MANCOMUNIDADES REGIONALES,DONACIONES Y TRANSFERENCIAS CORRIENTES,001,001,4,SAN ISIDRO,100000,1,DONACIONES Y TRANSFERENCIAS,2
MANCOMUNIDAD REGIONAL DE LOS ANDES,15,98,31,100000,LIMA,2022,DE OTRAS UNIDADES DE GOBIERNO,DE OTRAS UNIDADES DE GOBIERNO,01,GOBIERNOS REGIONALES,11,R,LIMA,360001,DONACIONES Y TRANSFERENCIAS,3,13,4,SUBCUENTA - TRANSFERENCIAS FINANCIERAS,MANCOMUNIDAD REGIONAL DE LOS ANDES,1,0,DONACIONES Y TRANSFERENCIAS,DE LOS GOBIERNOS REGIONALES,18,MANCOMUNIDADES REGIONALES,DONACIONES Y TRANSFERENCIAS CORRIENTES,001,001,4,SAN ISIDRO,0,1,DONACIONES Y TRANSFERENCIAS,2
MANCOMUNIDAD REGIONAL DE LOS ANDES,15,98,31,0,LIMA,2022,DE OTRAS UNIDADES DE GOBIERNO,DE OTRAS UNIDADES DE GOBIERNO,01,GOBIERNOS REGIONALES,7,R,LIMA,360001,DONACIONES Y TRANSFERENCIAS,3,13,4,NORMAL,MANCOMUNIDAD REGIONAL DE LOS ANDES,2,0,DONACIONES Y TRANSFERENCIAS,DE LOS GOBIERNOS REGIONALES,0,MANCOMUNIDADES REGIONALES,DONACIONES DE CAPITAL,001,001,4,SAN ISIDRO,12536852,1,DONACIONES Y TRANSFERENCIAS,2
MANCOMUNIDAD REGIONAL DE LOS ANDES,15,98,31,0,LIMA,2022,"VEHICULOS, MAQUINARIAS Y EQUIPOS",INGRESO POR ALQUILERES,01,GOBIERNOS REGIONALES,1,R,LIMA,360001,RECURSOS DIRECTAMENTE RECAUDADOS,5,09,3,NORMAL,MANCOMUNIDAD REGIONAL DE LOS ANDES,3,0,RECURSOS DIRECTAMENTE RECAUDADOS,"OTROS VEHICULOS, MAQUINARIAS Y EQUIPOS",0,MANCOMUNIDADES REGIONALES,VENTA DE SERVICIOS,001,001,2,SAN ISIDRO,0,2,VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS,99
MANCOMUNIDAD REGIONAL DE LOS ANDES,15,98,31,21450,LIMA,2022,SALDOS DE BALANCE,SALDOS DE BALANCE,01,GOBIERNOS REGIONALES,4,R,LIMA,360001,DONACIONES Y TRANSFERENCIAS,1,13,9,TRANSFERENCIAS DE ENTIDADES DEL GOBIERNO NACIONAL Y REGIONAL,MANCOMUNIDAD REGIONAL DE LOS ANDES,1,0,DONACIONES Y TRANSFERENCIAS,SALDOS DE BALANCE,A,MANCOMUNIDADES REGIONALES,SALDOS DE BALANCE,001,001,4,SAN ISIDRO,0,1,SALDOS DE BALANCE,1
MANCOMUNIDAD REGIONAL DE LOS ANDES,15,98,31,3945309,LIMA,2022,DE OTRAS UNIDADES DE GOBIERNO,DE OTRAS UNIDADES DE GOBIERNO,01,GOBIERNOS REGIONALES,10,R,LIMA,360001,DONACIONES Y TRANSFERENCIAS,3,13,4,SUBCUENTA - TRANSFERENCIAS FINANCIERAS,MANCOMUNIDAD REGIONAL DE LOS ANDES,2,0,DONACIONES Y TRANSFERENCIAS,DE LOS GOBIERNOS REGIONALES,18,MANCOMUNIDADES REGIONALES,DONACIONES DE CAPITAL,001,001,4,SAN ISIDRO,0,1,DONACIONES Y TRANSFERENCIAS,2
MANCOMUNIDAD REGIONAL DE LOS ANDES,15,98,31,0,LIMA,2022,SALDOS DE BALANCE,SALDOS DE BALANCE,01,GOBIERNOS REGIONALES,4,R,LIMA,360001,DONACIONES Y TRANSFERENCIAS,1,13,9,NORMAL,MANCOMUNIDAD REGIONAL DE LOS ANDES,1,0,DONACIONES Y TRANSFERENCIAS,SALDOS DE BALANCE,0,MANCOMUNIDADES REGIONALES,SALDOS DE BALANCE,001,001,4,SAN ISIDRO,0,1,SALDOS DE BALANCE,1
MANCOMUNIDAD REGIONAL DE LOS ANDES,15,98,31,0,LIMA,2022,SALDOS DE BALANCE,SALDOS DE BALANCE,01,GOBIERNOS REGIONALES,7,R,LIMA,360001,DONACIONES Y TRANSFERENCIAS,1,13,9,SUBCUENTA - SALDOS DE TRANSFERENCIAS FINANCIERAS (ART. 9º RD 004-2022-EF/52.01),MANCOMUNIDAD REGIONAL DE LOS ANDES,1,0,DONACIONES Y TRANSFERENCIAS,SALDOS DE BALANCE,25,MANCOMUNIDADES REGIONALES,SALDOS DE BALANCE,001,001,4,SAN ISIDRO,0,1,SALDOS DE BALANCE,1
MANCOMUNIDAD REGIONAL DE LOS ANDES,15,98,31,0,LIMA,2022,DE OTRAS UNIDADES DE GOBIERNO,DE OTRAS UNIDADES DE GOBIERNO,01,GOBIERNOS REGIONALES,1,R,LIMA,360001,DONACIONES Y TRANSFERENCIAS,3,13,4,NORMAL,MANCOMUNIDAD REGIONAL DE LOS ANDES,1,0,DONACIONES Y TRANSFERENCIAS,DE LOS GOBIERNOS REGIONALES,0,MANCOMUNIDADES REGIONALES,DONACIONES Y TRANSFERENCIAS CORRIENTES,001,001,4,SAN ISIDRO,0,1,DONACIONES Y TRANSFERENCIAS,2
