ANO_DOC,SECTOR,PROVINCIA_EJECUTORA_NOMBRE,MONTO_RECAUDADO,FUENTE_FINANCIAMIENTO_NOMBRE,GENERICA_NOMBRE,SUBGENERICA_NOMBRE,SUBGENERICA_DET,MONTO_PIM,PROVINCIA_EJECUTORA,SECTOR_NOMBRE,NIVEL_GOBIERNO_NOMBRE,SEC_EJEC,DEPARTAMENTO_EJECUTORA,ESPECIFICA_DET,GENERICA,MES_DOC,RUBRO_NOMBRE,DEPARTAMENTO_EJECUTORA_NOMBRE,TIPO_RECURSO,ESPECIFICA,MONTO_PIA,DISTRITO_EJECUTORA_NOMBRE,PLIEGO,EJECUTORA_NOMBRE,EJECUTORA,ESPECIFICA_DET_NOMBRE,ESPECIFICA_NOMBRE,TIPO_RECURSO_NOMBRE,FUENTE_FINANCIAMIENTO,SUBGENERICA_DET_NOMBRE,RUBRO,PLIEGO_NOMBRE,SUBGENERICA,DISTRITO_EJECUTORA,NIVEL_GOBIERNO
2025,98,LIMA,5058923.06,DONACIONES Y TRANSFERENCIAS,SALDOS DE BALANCE,SALDOS DE BALANCE,1,0,01,MANCOMUNIDADES REGIONALES,GOBIERNOS REGIONALES,360001,15,1,9,1,DONACIONES Y TRANSFERENCIAS,LIMA,18,1,0,SAN ISIDRO,001,MANCOMUNIDAD REGIONAL DE LOS ANDES,001,SALDOS DE BALANCE,SALDOS DE BALANCE,SUBCUENTA - TRANSFERENCIAS FINANCIERAS,4,SALDOS DE BALANCE,13,MANCOMUNIDAD REGIONAL DE LOS ANDES,1,31,R
2025,98,LIMA,0,DONACIONES Y TRANSFERENCIAS,DONACIONES Y TRANSFERENCIAS,DONACIONES Y TRANSFERENCIAS CORRIENTES,3,30000,01,MANCOMUNIDADES REGIONALES,GOBIERNOS REGIONALES,360001,15,2,4,10,DONACIONES Y TRANSFERENCIAS,LIMA,0,1,0,SAN ISIDRO,001,MANCOMUNIDAD REGIONAL DE LOS ANDES,001,DE LOS GOBIERNOS REGIONALES,DE OTRAS UNIDADES DE GOBIERNO,NORMAL,4,DE OTRAS UNIDADES DE GOBIERNO,13,MANCOMUNIDAD REGIONAL DE LOS ANDES,1,31,R
2025,98,LIMA,0,RECURSOS DIRECTAMENTE RECAUDADOS,OTROS INGRESOS,MULTAS Y SANCIONES NO TRIBUTARIAS,2,0,01,MANCOMUNIDADES REGIONALES,GOBIERNOS REGIONALES,360001,15,99,5,4,RECURSOS DIRECTAMENTE RECAUDADOS,LIMA,0,1,0,SAN ISIDRO,001,MANCOMUNIDAD REGIONAL DE LOS ANDES,001,OTRAS SANCIONES,SANCIONES ADMINISTRATIVAS,NORMAL,2,SANCIONES,09,MANCOMUNIDAD REGIONAL DE LOS ANDES,2,31,R
2025,98,LIMA,5.16,RECURSOS DIRECTAMENTE RECAUDADOS,OTROS INGRESOS,RENTAS DE LA PROPIEDAD,1,0,01,MANCOMUNIDADES REGIONALES,GOBIERNOS REGIONALES,360001,15,1,5,9,RECURSOS DIRECTAMENTE RECAUDADOS,LIMA,7,1,0,SAN ISIDRO,001,MANCOMUNIDAD REGIONAL DE LOS ANDES,001,INTERESES POR DEPOSITOS DISTINTOS DE RECURSOS POR PRIVATIZACION Y CONCESIONES,INTERESES,SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS,2,RENTAS DE LA PROPIEDAD FINANCIERA,09,MANCOMUNIDAD REGIONAL DE LOS ANDES,1,31,R
2025,98,LIMA,0,RECURSOS DIRECTAMENTE RECAUDADOS,SALDOS DE BALANCE,SALDOS DE BALANCE,1,277,01,MANCOMUNIDADES REGIONALES,GOBIERNOS REGIONALES,360001,15,1,9,1,RECURSOS DIRECTAMENTE RECAUDADOS,LIMA,0,1,0,SAN ISIDRO,001,MANCOMUNIDAD REGIONAL DE LOS ANDES,001,SALDOS DE BALANCE,SALDOS DE BALANCE,NORMAL,2,SALDOS DE BALANCE,09,MANCOMUNIDAD REGIONAL DE LOS ANDES,1,31,R
2025,98,LIMA,2498165,DONACIONES Y TRANSFERENCIAS,DONACIONES Y TRANSFERENCIAS,DONACIONES DE CAPITAL,3,0,01,MANCOMUNIDADES REGIONALES,GOBIERNOS REGIONALES,360001,15,2,4,10,DONACIONES Y TRANSFERENCIAS,LIMA,18,1,0,SAN ISIDRO,001,MANCOMUNIDAD REGIONAL DE LOS ANDES,001,DE LOS GOBIERNOS REGIONALES,DE OTRAS UNIDADES DE GOBIERNO,SUBCUENTA - TRANSFERENCIAS FINANCIERAS,4,DE OTRAS UNIDADES DE GOBIERNO,13,MANCOMUNIDAD REGIONAL DE LOS ANDES,2,31,R
2025,98,LIMA,2.97,RECURSOS DIRECTAMENTE RECAUDADOS,OTROS INGRESOS,RENTAS DE LA PROPIEDAD,1,0,01,MANCOMUNIDADES REGIONALES,GOBIERNOS REGIONALES,360001,15,1,5,12,RECURSOS DIRECTAMENTE RECAUDADOS,LIMA,7,1,0,SAN ISIDRO,001,MANCOMUNIDAD REGIONAL DE LOS ANDES,001,INTERESES POR DEPOSITOS DISTINTOS DE RECURSOS POR PRIVATIZACION Y CONCESIONES,INTERESES,SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS,2,RENTAS DE LA PROPIEDAD FINANCIERA,09,MANCOMUNIDAD REGIONAL DE LOS ANDES,1,31,R
2025,98,LIMA,0,RECURSOS DIRECTAMENTE RECAUDADOS,OTROS INGRESOS,MULTAS Y SANCIONES NO TRIBUTARIAS,2,0,01,MANCOMUNIDADES REGIONALES,GOBIERNOS REGIONALES,360001,15,2,5,3,RECURSOS DIRECTAMENTE RECAUDADOS,LIMA,0,1,0,SAN ISIDRO,001,MANCOMUNIDAD REGIONAL DE LOS ANDES,001,INTERESES POR SANCIONES,SANCIONES ADMINISTRATIVAS,NORMAL,2,SANCIONES,09,MANCOMUNIDAD REGIONAL DE LOS ANDES,2,31,R
2025,98,LIMA,5775,RECURSOS DIRECTAMENTE RECAUDADOS,OTROS INGRESOS,MULTAS Y SANCIONES NO TRIBUTARIAS,2,5775,01,MANCOMUNIDADES REGIONALES,GOBIERNOS REGIONALES,360001,15,99,5,2,RECURSOS DIRECTAMENTE RECAUDADOS,LIMA,0,1,0,SAN ISIDRO,001,MANCOMUNIDAD REGIONAL DE LOS ANDES,001,OTRAS SANCIONES,SANCIONES ADMINISTRATIVAS,NORMAL,2,SANCIONES,09,MANCOMUNIDAD REGIONAL DE LOS ANDES,2,31,R
2025,98,LIMA,2.11,RECURSOS DIRECTAMENTE RECAUDADOS,OTROS INGRESOS,RENTAS DE LA PROPIEDAD,1,0,01,MANCOMUNIDADES REGIONALES,GOBIERNOS REGIONALES,360001,15,1,5,1,RECURSOS DIRECTAMENTE RECAUDADOS,LIMA,7,1,0,SAN ISIDRO,001,MANCOMUNIDAD REGIONAL DE LOS ANDES,001,INTERESES POR DEPOSITOS DISTINTOS DE RECURSOS POR PRIVATIZACION Y CONCESIONES,INTERESES,SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS,2,RENTAS DE LA PROPIEDAD FINANCIERA,09,MANCOMUNIDAD REGIONAL DE LOS ANDES,1,31,R
