FECHA_ING,ANO_APLICACION_FIN,PERIODO,FECHA_INI_CIERRE,FECHA_CIERRE,ESTADO,ANO_APLICACION,FECHA_PRES_OFICIO,ANO_APLICACION_INICIO
 ,2016,1, ,6/12/2016 00:00:00,I,2016, ,2007
12/11/2019 18:59:26,2019,2,1/12/2019 00:00:00,31/12/2019 00:00:00,I,2019,31/12/2019 00:00:00,2011
26/03/2021 18:16:16,2021,1,31/03/2021 00:00:00,31/12/2021 00:00:00,I,2021,31/03/2021 00:00:00,2014
 ,2014,1, ,4/08/2014 00:00:00,I,2014, ,2007
 ,2015,1, ,31/12/2015 00:00:00,I,2015, ,2007
 ,2016,2, ,3/03/2016 00:00:00,I,2016, ,2016
 ,2016,3,1/09/2017 00:00:00,15/09/2017 00:00:00,I,2017,31/10/2017 00:00:00,2011
 ,2016,2,1/07/2017 00:00:00,31/07/2017 00:00:00,I,2017,31/10/2017 00:00:00,2011
 ,2016,4,1/12/2017 00:00:00,31/12/2017 00:00:00,I,2017,31/10/2017 00:00:00,2011
 ,2012,1, ,4/08/2013 00:00:00,I,2013, ,2001
28/06/2018 18:49:36,2017,2,2/07/2018 00:00:00,31/07/2018 00:00:00,I,2018,31/10/2018 00:00:00,2011
15/03/2023 18:12:55,2023,1,2/02/2023 00:00:00,30/06/2023 00:00:00,I,2023,2/02/2023 00:00:00,2016
 ,2014,2, ,31/12/2014 00:00:00,I,2014, ,2013
 ,2016,1,1/03/2017 00:00:00,15/03/2017 00:00:00,I,2017,31/10/2017 00:00:00,2011
3/12/2018 11:12:36,2017,3,2/12/2018 00:00:00,31/12/2018 00:00:00,I,2018,31/10/2018 00:00:00,2011
27/05/2019 17:27:29,2018,1,21/10/2019 00:00:00,31/10/2019 00:00:00,I,2019,31/10/2019 00:00:00,2011
18/05/2020 18:39:49,2020,1,15/06/2020 00:00:00,15/07/2020 00:00:00,I,2020,15/07/2020 00:00:00,2014
25/01/2022 18:20:32,2022,1,2/02/2022 00:00:00,30/06/2022 00:00:00,I,2022,2/02/2022 00:00:00,2016
19/04/2018 11:48:03,2017,1,2/05/2018 00:00:00,15/05/2018 00:00:00,I,2018,31/10/2018 00:00:00,2011
15/07/2022 18:23:38,2022,2,15/07/2022 00:00:00,31/12/2022 00:00:00,I,2022,15/07/2022 00:00:00,2016
1/04/2026 19:32:44,2026,1,1/04/2026 00:00:00,15/07/2026 00:00:00,A,2026,15/03/2026 00:00:00,2016
25/03/2024 19:49:16,2024,1,15/03/2024 00:00:00,31/05/2024 00:00:00,I,2024,15/04/2024 00:00:00,2016
26/07/2023 13:22:14,2023,2,15/07/2023 00:00:00,31/12/2023 00:00:00,I,2023,15/07/2023 00:00:00,2016
2/09/2024 13:30:22,2024,2,30/08/2024 00:00:00,6/01/2025 00:00:00,I,2024,30/08/2024 00:00:00,2016
21/03/2025 18:05:30,2025,1,20/03/2025 00:00:00,31/05/2025 00:00:00,I,2025,30/04/2025 00:00:00,2016
25/07/2025 21:31:17,2025,2,1/08/2025 00:00:00,6/01/2026 00:00:00,I,2025,31/08/2025 00:00:00,2016
