SUB_TITULO,ANO_APLICACION,ORDEN_FORMULARIO,TIPO_FORMULARIO,ESTADO_REGISTRO,CLASIFICACION,ABREVIATURA,TITULO,PERIODO,FORMULARIO_ID
 ,2021,001,E, ,A|B|C|D|E,3A,2A. INFORMACIÓN SOBRE LA EMISIÓN INICIAL TOTAL DE IMPUESTO PREDIAL,1,6
 ,2021,002,E, ,A|B|C|D|E,3B,2B. INFORMACIÓN SOBRE LA RECAUDACIÓN DE IMPUESTO PREDIAL (INSOLUTO),1,7
 ,2021,003,E, ,A|B|C|D|E,3C,2C. INFORMACIÓN SOBRE SALDOS POR COBRAR DEL MONTO INSOLUTO DE IMPUESTO PREDIAL,1,8
 ,2023,001,E, ,A|B|C|D|E,3A,3A. INFORMACIÓN SOBRE LA EMISIÓN INICIAL TOTAL DE IMPUESTO PREDIAL,1,6
 ,2023,002,E, ,A|B|C|D|E,3B,3B. INFORMACIÓN SOBRE LA RECAUDACIÓN DE IMPUESTO PREDIAL (INSOLUTO),1,7
 ,2023,003,E, ,A|B|C|D|E,3C,3C. INFORMACIÓN SOBRE SALDOS POR COBRAR DEL MONTO INSOLUTO DE IMPUESTO PREDIAL,1,8
 ,2023,004,E, ,A|B|C|D|E,3D,3D. INFORMACIÓN SOBRE LA EMISIÓN FINAL TOTAL DE IMPUESTO PREDIAL,1,9
El responsable de la ATM debe responder cada pregunta según la información del 1 de enero al 30 de junio de 2022. (I semestre),2023,001,C, ,A|B|C|D|E,2A,2A. ASPECTOS GENERALES,1,1
 ,2023,002,C, ,A|B|C|D|E,2B,2B. MACROPROCESO DE REGISTRO Y DETERMINACIÓN DE LA DEUDA,1,2
 ,2023,003,C, ,A|B|C|D|E,2C,2C. MACROPROCESO DE NOTIFICACIONES,1,3
 ,2023,004,C, ,A|B|C|D|E,2D,2D. MACROPROCESO DE GESTIÓN DE CUENTA,1,4
 ,2023,005,C, ,A|B|C|D|E,2E,2E. MACROPROCESO DE TESORERÍA Y PAGO,1,5
 ,2020,001,E, ,A|B|C|D|E,3A,3A. INFORMACIÓN SOBRE LA EMISIÓN INICIAL TOTAL DE IMPUESTO PREDIAL,1,6
 ,2020,002,E, ,A|B|C|D|E,3B,3B. INFORMACIÓN SOBRE LA RECAUDACIÓN DE IMPUESTO PREDIAL (INSOLUTO),1,7
 ,2020,003,E, ,A|B|C|D|E,3C,3C. INFORMACIÓN SOBRE SALDOS POR COBRAR DEL MONTO INSOLUTO DE IMPUESTO PREDIAL,1,8
El responsable de la ATM debe responder cada pregunta según la información del 1 de enero al 30 de junio de 2020. (I semestre),2020,001,C, ,A|B|C|D|E,2A,2A. ASPECTOS GENERALES,1,1
 ,2020,002,C, ,A|B|C|D|E,2B,2B. MACROPROCESO DE REGISTRO Y DETERMINACIÓN DE LA DEUDA,1,2
 ,2020,003,C, ,A|B|C|D|E,2C,2C. MACROPROCESO DE NOTIFICACIONES,1,3
 ,2020,004,C, ,A|B|C|D|E,2D,2D. MACROPROCESO DE GESTIÓN DE CUENTA,1,4
 ,2020,005,C, ,A|B|C|D|E,2E,2E. MACROPROCESO DE TESORERÍA Y PAGO,1,5
 ,2022,001,E, ,A|B|C|D|E,3A,3A. INFORMACIÓN SOBRE LA EMISIÓN INICIAL TOTAL DE IMPUESTO PREDIAL,1,6
 ,2022,002,E, ,A|B|C|D|E,3B,3B. INFORMACIÓN SOBRE LA RECAUDACIÓN DE IMPUESTO PREDIAL (INSOLUTO),1,7
 ,2022,003,E, ,A|B|C|D|E,3C,3C. INFORMACIÓN SOBRE SALDOS POR COBRAR DEL MONTO INSOLUTO DE IMPUESTO PREDIAL,1,8
El responsable de la ATM debe responder cada pregunta según la información del 1 de enero al 30 de junio de 2022. (I semestre),2022,001,C, ,A|B|C|D|E,2A,2A. ASPECTOS GENERALES,1,1
 ,2022,002,C, ,A|B|C|D|E,2B,2B. MACROPROCESO DE REGISTRO Y DETERMINACIÓN DE LA DEUDA,1,2
 ,2022,003,C, ,A|B|C|D|E,2C,2C. MACROPROCESO DE NOTIFICACIONES,1,3
 ,2022,004,C, ,A|B|C|D|E,2D,2D. MACROPROCESO DE GESTIÓN DE CUENTA,1,4
 ,2022,005,C, ,A|B|C|D|E,2E,2E. MACROPROCESO DE TESORERÍA Y PAGO,1,5
 ,2022,002,E, ,A|B|C|D|E,3B,3B. INFORMACIÓN SOBRE LA RECAUDACIÓN DE IMPUESTO PREDIAL (INSOLUTO),2,7
 ,2022,003,E, ,A|B|C|D|E,3C,3C. INFORMACIÓN SOBRE SALDOS POR COBRAR DEL MONTO INSOLUTO DE IMPUESTO PREDIAL,2,8
 ,2025,001,E, ,A|B|C|D|E,4A,4A. TIPOS DE ARBITRIOS MUNICIPALES QUE SE RECAUDA.,2,12
