"VARIABLE","TIPO_DATO","DESCRIPCION"
"SEC_EJEC","Numérico","Mnemónico de la entidad."
"ANO_APLICACION","Numérico","Año de aplicación."
"PERIODO","Numérico","Periodo."
"FORMULARIO_ID","Numérico","Id. del formulario."
"PREGUNTA_ID","Numérico","Id. de la pregunta."
"RESPUESTA_ID","Numérico","Id. de la respuesta."
"RESPUESTA_TEXTO","Carácter","Respuesta tipo texto."
"RESPUESTA_DECIMAL","Numérico","Respuesta tipo decimal."
"RESPUESTA_ENTERO","Numérico","Respuesta tipo entero."
"RESPUESTA_FECHA","Fecha","Respuesta tipo fecha."
"ESTADO_REGISTRO","Carácter","Estado del registro: (A) Activo, (I) Inactivo."
